Quarter,Time,Down,ToGo,Location,SDG,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,SDG 30,0,0,"Nate Kaeding kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,DEN 20,0,0,Travis Henry left end for 4 yards (tackle by Jamal Williams),0.280,0.270
1,14:19,2,6,DEN 24,0,0,Jay Cutler pass complete short right to Brandon Marshall for 7 yards (tackle by Quentin Jammer),0.270,1.000
1,13:34,1,10,DEN 31,0,0,Jay Cutler pass complete short right to Daniel Graham for 5 yards (tackle by Matt Wilhelm),1.000,1.140
1,12:58,2,5,DEN 36,0,0,Travis Henry left tackle for -1 yards (tackle by Igor Olshansky),1.140,0.300
1,12:19,3,6,DEN 35,0,0,Jay Cutler pass complete short right to Selvin Young for 7 yards (tackle by Quentin Jammer),0.300,1.730
1,11:42,1,10,DEN 42,0,0,Jay Cutler pass incomplete short left intended for Brandon Marshall,1.730,1.190
1,11:37,2,10,DEN 42,0,0,Travis Henry right tackle for 3 yards (tackle by Marlon McCree),1.190,0.890
1,11:00,3,7,DEN 45,0,0,Jay Cutler pass incomplete short right intended for Brandon Stokley (defended by Quentin Jammer),0.890,-0.390
1,10:55,4,7,DEN 45,0,0,"Todd Sauerbrun punts 49 yards, returned by Darren Sproles for 23 yards (tackle by Nick Ferguson)",-0.390,-0.870
1,10:40,1,10,SDG 29,0,0,LaDainian Tomlinson left guard for -4 yards (tackle by Nick Ferguson),0.870,-0.210
1,10:07,2,14,SDG 25,0,0,LaDainian Tomlinson left guard for 2 yards (tackle by D.J. Williams),-0.210,-0.630
1,9:22,3,12,SDG 27,0,0,Philip Rivers pass complete short right to LaDainian Tomlinson for 36 yards (tackle by Domonique Foxworth),-0.630,3.120
1,8:45,1,10,DEN 37,0,0,LaDainian Tomlinson up the middle for 3 yards (tackle by John Engelberger),3.120,2.980
1,8:00,2,7,DEN 34,0,0,Philip Rivers pass complete deep right to Antonio Gates for 23 yards (tackle by Champ Bailey),2.980,4.840
1,7:26,1,10,DEN 11,0,0,Philip Rivers pass incomplete short right intended for Vincent Jackson,4.840,4.140
1,7:20,2,10,DEN 11,0,0,Philip Rivers pass complete short middle to Antonio Gates for 9 yards (tackle by John Lynch),4.140,5.120
1,6:34,3,1,DEN 2,6,0,"Philip Rivers right end for 2 yards, touchdown",5.120,7.000
1,,,,DEN 2,7,0,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,13,0,"Nate Kaeding kicks off 73 yards, returned by Brian Clark for 23 yards (tackle by Carlos Polk). Brian Clark fumbles (forced by Carlos Polk), recovered by Brandon Siler at DEN-23 and returned for 23 yards, touchdown",0.000,-7.000
1,,,,DEN 2,14,0,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,14,0,"Nate Kaeding kicks off 70 yards, touchback",0.000,0.280
1,6:15,1,10,DEN 20,14,0,Jay Cutler pass complete short right to Nate Jackson for 9 yards (tackle by Quentin Jammer),0.280,0.950
1,5:39,2,1,DEN 29,14,0,Travis Henry up the middle for 2 yards (tackle by Luis Castillo),0.950,1.000
1,5:03,1,10,DEN 31,14,0,"Jay Cutler pass incomplete short right intended for Tony Scheffler (defended by Clinton Hart). Penalty on Clinton Hart: Defensive Pass Interference, 10 yards (no play)",1.000,1.660
1,4:56,1,10,DEN 41,14,0,Travis Henry right end for 5 yards (tackle by Matt Wilhelm),1.660,1.800
1,4:12,2,5,DEN 46,14,0,Jay Cutler pass complete deep middle to Tony Scheffler for 19 yards (tackle by Marlon McCree),1.800,3.250
1,3:35,1,10,SDG 35,14,0,"Jay Cutler pass complete deep left to Brandon Marshall for 26 yards (tackle by Marlon McCree). Brandon Marshall fumbles (forced by Marlon McCree), recovered by Quentin Jammer at SDG-9 (tackle by Brandon Marshall)",3.250,0.380
1,3:20,1,10,SDG 9,14,0,LaDainian Tomlinson left tackle for 9 yards (tackle by Dre' Bly),-0.380,0.140
1,2:39,2,1,SDG 18,14,0,LaDainian Tomlinson right tackle for 11 yards (tackle by John Lynch and Ian Gold),0.140,0.870
1,1:59,1,10,SDG 29,14,0,Philip Rivers pass incomplete short right intended for Brandon Manumaleuna,0.870,0.330
1,1:53,2,10,SDG 29,14,0,LaDainian Tomlinson right tackle for 6 yards (tackle by Champ Bailey),0.330,0.430
1,1:11,,,,14,0,Timeout #1 by Denver Broncos,0.000,0.430
1,1:11,3,4,SDG 35,14,0,LaDainian Tomlinson right guard for 8 yards (tackle by Champ Bailey and Nick Ferguson),0.430,1.800
1,0:30,1,10,SDG 43,14,0,Michael Turner up the middle for 3 yards (tackle by John Engelberger),1.800,1.660
Quarter,Time,Down,ToGo,Location,SDG,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,SDG 46,14,0,LaDainian Tomlinson left tackle for -1 yards (tackle by Dre' Bly),1.660,0.830
2,14:20,3,8,SDG 45,14,0,Philip Rivers pass complete short right to Antonio Gates for 13 yards (tackle by Champ Bailey),0.830,2.790
2,13:35,1,10,DEN 42,14,0,Philip Rivers pass complete short left to LaDainian Tomlinson for 29 yards (tackle by Nick Ferguson),2.790,4.710
2,12:49,1,10,DEN 13,14,0,LaDainian Tomlinson left tackle for 4 yards (tackle by Nick Ferguson),4.710,4.770
2,12:12,2,6,DEN 9,14,0,LaDainian Tomlinson left tackle for 1 yard (tackle by Dre' Bly),4.770,4.100
2,11:31,3,5,DEN 8,14,0,Philip Rivers pass incomplete short left intended for LaDainian Tomlinson,4.100,2.970
2,11:26,4,5,DEN 8,17,0,Nate Kaeding 26 yard field goal good,2.970,3.000
2,,,,SDG 30,17,0,"Nate Kaeding kicks off 69 yards, returned by Brian Clark for 21 yards (tackle by Cletis Gordon)",0.000,0.410
2,11:17,1,10,DEN 22,17,0,Jay Cutler pass complete short middle to Daniel Graham for 5 yards (tackle by Stephen Cooper),0.410,0.540
2,10:45,2,5,DEN 27,17,0,Travis Henry right tackle for 3 yards (tackle by Matt Wilhelm),0.540,0.230
2,10:08,,,,17,0,Timeout #2 by Denver Broncos,0.000,0.230
2,10:08,3,2,DEN 30,17,0,Jay Cutler pass complete short right to Brandon Marshall for 10 yards (tackle by Drayton Florence),0.230,1.600
2,9:34,1,10,DEN 40,17,0,Jay Cutler pass incomplete short right intended for Travis Henry,1.600,1.050
2,9:30,2,10,DEN 40,17,0,Selvin Young up the middle for no gain (tackle by Brandon McKinney),1.050,0.370
2,8:50,3,10,DEN 40,17,0,Jay Cutler pass incomplete short left intended for Brandon Stokley (defended by Antonio Cromartie),0.370,-0.720
2,8:44,4,10,DEN 40,17,0,"Todd Sauerbrun punts 48 yards, returned by Darren Sproles for 4 yards (tackle by Mike Leach)",-0.720,0.140
2,8:30,1,10,SDG 16,17,0,LaDainian Tomlinson left guard for no gain (tackle by Ian Gold),-0.140,-0.660
2,7:50,2,10,SDG 16,17,0,Philip Rivers pass incomplete short right intended for LaDainian Tomlinson (defended by Elvis Dumervil),-0.660,-1.320
2,7:45,3,10,SDG 16,17,0,"LaDainian Tomlinson left tackle for 3 yards (tackle by Marcus Thomas). Penalty on Elvis Dumervil: Defensive Offside, 5 yards (no play)",-1.320,-0.700
2,7:21,3,5,SDG 21,17,0,LaDainian Tomlinson up the middle for 3 yards (tackle by Alvin McKinley and Ian Gold),-0.700,-1.770
2,6:43,4,2,SDG 24,17,0,"Mike Scifres punts 51 yards, returned by Glenn Martinez for 18 yards (tackle by Brandon Siler)",-1.770,-1.800
2,6:28,1,10,DEN 43,17,0,Travis Henry left tackle for 9 yards (tackle by Matt Wilhelm),1.800,2.470
2,5:48,2,1,SDG 48,17,0,Travis Henry left tackle for 4 yards (tackle by Matt Wilhelm),2.470,2.650
2,5:13,1,10,SDG 44,17,0,"Travis Henry right end for 1 yard (tackle by Quentin Jammer). Penalty on Daniel Graham: Offensive Holding, 10 yards (no play)",2.650,1.990
2,4:52,1,20,DEN 46,17,0,Jay Cutler pass complete short left to Selvin Young for 9 yards (tackle by Shaun Phillips),1.990,1.980
2,4:09,2,11,SDG 45,17,0,Jay Cutler pass complete short middle to Glenn Martinez for 6 yards (tackle by Stephen Cooper),1.980,2.080
2,3:31,3,5,SDG 39,17,0,Jay Cutler pass complete short right to Glenn Martinez for 6 yards (tackle by Quentin Jammer),2.080,3.380
2,2:53,1,10,SDG 33,17,0,Travis Henry right tackle for 15 yards (tackle by Stephen Cooper),3.380,4.370
2,2:13,1,10,SDG 18,17,0,Travis Henry up the middle for 4 yards (tackle by Ryon Bingham),4.370,4.430
2,2:00,2,6,SDG 14,17,0,Jay Cutler pass incomplete short middle intended for Selvin Young,4.430,3.630
2,1:56,3,6,SDG 14,17,0,Jay Cutler pass complete short left to Selvin Young for 2 yards (tackle by Clinton Hart),3.630,2.710
2,1:19,4,4,SDG 12,17,3,Jason Elam 30 yard field goal good,2.710,3.000
2,,,,DEN 30,17,3,"Todd Sauerbrun kicks off 71 yards, returned by Darren Sproles for 22 yards (tackle by Brian Clark)",0.000,0.340
2,1:08,1,10,SDG 21,17,3,LaDainian Tomlinson up the middle for 2 yards (tackle by Nick Ferguson),0.340,0.070
2,0:34,2,8,SDG 23,17,3,LaDainian Tomlinson up the middle for 11 yards (tackle by Champ Bailey and Nate Webster),0.070,1.200
2,0:26,,,,17,3,Timeout #1 by San Diego Chargers,0.000,1.200
2,0:26,1,10,SDG 34,17,3,Michael Turner right tackle for 49 yards (tackle by Ian Gold),1.200,4.440
2,0:13,,,,17,3,Timeout #2 by San Diego Chargers,0.000,4.440
2,0:13,1,10,DEN 17,17,3,Philip Rivers pass incomplete deep left intended for Craig Davis,4.440,3.850
2,0:06,2,10,DEN 17,17,3,"Nate Kaeding 35 yard field goal good. Penalty on Brandon Manumaleuna: Offensive Holding, 10 yards (no play)",3.850,2.540
2,0:02,,,,17,3,Timeout #3 by San Diego Chargers,0.000,2.540
2,0:02,2,20,DEN 27,20,3,Nate Kaeding 45 yard field goal good,2.540,3.000
Quarter,Time,Down,ToGo,Location,SDG,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 30,20,3,"Todd Sauerbrun kicks off 70 yards, returned by Darren Sproles for 27 yards (tackle by Jamie Winborn)",0.000,0.740
