Unnamed: 0,CAR,CLE
First Downs,16,26
Rush-Yds-TDs,27-151-1,32-152-3
Cmp-Att-Yd-TD-INT,16-28-195-0-1,24-36-245-0-2
Sacked-Yards,3-20,2-18
Net Pass Yards,175,227
Total Yards,326,379
Fumbles-Lost,0-0,3-1
Turnovers,1,3
Penalties-Yards,8-68,5-46
Third Down Conv.,7-15,4-11
Fourth Down Conv.,0-0,0-1
Time of Possession,28:16,31:44
