Quarter,Time,Tm,Detail,CAR,CLE
1.0,10:36,Panthers,Mike Goodson 26 yard rush (John Kasay kick),7,0
,6:49,Browns,Peyton Hillis 9 yard rush (Phil Dawson kick),7,7
,2:44,Browns,Peyton Hillis 5 yard rush (Phil Dawson kick),7,14
2.0,9:12,Browns,Peyton Hillis 6 yard rush (Phil Dawson kick),7,21
,3:19,Panthers,John Kasay 43 yard field goal,10,21
,0:47,Panthers,John Kasay 42 yard field goal,13,21
3.0,12:18,Panthers,Captain Munnerlyn 37 yard interception return (John Kasay kick),20,21
4.0,7:01,Panthers,John Kasay 43 yard field goal,23,21
,2:42,Browns,Phil Dawson 41 yard field goal,23,24
