Quarter,Time,Tm,Detail,NYJ,MIA
2.0,12:39,Dolphins,Jason Sanders 43 yard field goal,0,3
,1:11,Dolphins,Jason Sanders 27 yard field goal,0,6
,0:20,Jets,Jason Myers 48 yard field goal,3,6
4.0,10:48,Dolphins,Jerome Baker 25 yard interception return (Jason Sanders kick),3,13
,5:57,Jets,Jason Myers 56 yard field goal,6,13
