Unnamed: 0,KAN,DEN
First Downs,30,25
Rush-Yds-TDs,22-51-0,31-153-1
Cmp-Att-Yd-TD-INT,33-53-469-4-0,23-35-299-5-0
Sacked-Yards,4-36,0-0
Net Pass Yards,433,299
Total Yards,484,452
Fumbles-Lost,3-1,0-0
Turnovers,1,0
Penalties-Yards,6-40,3-28
Third Down Conv.,5-13,6-10
Fourth Down Conv.,2-4,0-1
Time of Possession,31:51,28:09
